,Year,Solar/PV Energy,Geothermal Energy,Wind Energy,Natural Gas Plant Liquids,Hydroelectric Power,Biomass Energy,Nuclear Electric Power,Crude Oil,Natural Gas (Dry),Coal
0,1973,0.0,0.020422000000000003,0.0,2.568779,2.861449,1.5290679999999999,0.9101780000000002,19.493236999999997,22.189393,13.992124
1,1974,0.0,0.025611000000000002,0.0,2.4711689999999997,3.1765800000000004,1.5396619999999999,1.272084,18.574993,21.210112,14.07445
2,1975,0.0,0.03378,0.0,2.3742980000000005,3.154605,1.4987330000000003,1.899797,17.729319,19.639955999999998,14.989315999999999
3,1976,0.0,0.037513,0.0,2.327046,2.9762649999999997,1.7133730000000003,2.111119,17.261843,19.48098,15.653687000000001
4,1977,0.0,0.03738299999999999,0.0,2.3269839999999995,2.3332539999999997,1.8383309999999997,2.7017629999999997,17.453737,19.568486,15.754742000000002
5,1978,0.0,0.030850999999999996,0.0,2.245436,2.936983,2.0376049999999997,3.024125,18.433652,19.485318000000003,14.909809
6,1979,0.0,0.040259,0.0,2.2860810000000003,2.9306829999999997,2.151906,2.7758260000000003,18.103597,20.076944,17.539583999999998
7,1980,0.0,0.052698999999999996,0.0,2.25363,2.900143,2.4754980000000004,2.739169,18.248918,19.908503999999997,18.597726
8,1981,0.0,0.059436,0.0,2.3073810000000003,2.7579689999999997,2.596282,3.0075919999999994,18.146017999999998,19.698887,18.376773999999997
9,1982,0.0,0.050628000000000006,0.0,2.191077,3.265558,2.663453,3.131149,18.308945,18.318960000000004,18.638749999999998
10,1983,0.0,0.063911,2.7e-05,2.1841070000000005,3.5272589999999995,2.9044149999999997,3.2025490000000003,18.391794,16.593388,17.246671
11,1984,5.5e-05,0.08080899999999999,6.8e-05,2.2737689999999997,3.385812,2.9711190000000003,3.5525310000000005,18.848239,18.007932999999998,19.719216000000003
12,1985,0.00010999999999999999,0.09742,6.1000000000000005e-05,2.2407710000000005,2.970193,3.016234,4.075563000000001,18.992406000000003,16.98038,19.325166000000003
13,1986,0.000146,0.107676,4.2999999999999995e-05,2.149103,3.0711790000000003,2.932093,4.380109,18.375860000000003,16.540799999999997,19.509466000000003
14,1987,0.00010899999999999999,0.112268,3.7e-05,2.215036,2.6345089999999995,2.874886,4.753932,17.674785999999997,17.135818999999998,20.141104
15,1988,9.499999999999998e-05,0.10633800000000002,8e-06,2.259831,2.3342660000000004,3.01605,5.586967,17.27893,17.598597,20.737639
16,1989,0.05504100000000001,0.16154099999999996,0.022033000000000004,2.158344,2.8372650000000004,3.159357,5.60216,16.116882999999998,17.847275999999997,21.360177
17,1990,0.059419,0.170746,0.029007,2.174714,3.046389,2.735112,6.104349000000001,15.571188000000001,18.326155999999997,22.487548999999998
18,1991,0.06235500000000001,0.17762600000000003,0.030795,2.3057399999999997,3.015944,2.7817979999999998,6.422134,15.700826999999999,18.228737,21.636425
19,1992,0.063675,0.17869800000000002,0.029864,2.362962,2.617435,2.9316780000000002,6.479207000000001,15.222864000000001,18.3751,21.694133
20,1993,0.066061,0.185674,0.030988,2.408001,2.8916120000000003,2.9084459999999996,6.4104980000000005,14.494387999999999,18.584038,20.335653
21,1994,0.068103,0.17346399999999998,0.035560999999999995,2.3909789999999997,2.6834569999999998,3.0275339999999997,6.6938770000000005,14.102565,19.348014,22.202083
22,1995,0.06934699999999999,0.152057,0.03263,2.4415829999999996,3.205308,3.099081,7.075435,13.886756000000002,19.082245999999998,22.129551
23,1996,0.07041700000000001,0.16335900000000003,0.033440000000000004,2.52991,3.5896559999999997,3.1553,7.086675,13.722895999999999,19.344268000000003,22.790149
24,1997,0.069587,0.166697,0.03358,2.495206,3.6404579999999997,3.107909,6.596991999999999,13.65802,19.39385,23.309614
25,1998,0.06905099999999999,0.16845,0.030853000000000005,2.4204600000000007,3.2970539999999993,2.9289279999999995,7.067810999999999,13.235134,19.613295,24.045199
26,1999,0.067936,0.17092100000000002,0.045895,2.527648,3.2675739999999998,2.965132,7.610253999999999,12.451042000000001,19.340702999999998,23.295085
27,2000,0.06558699999999999,0.164364,0.057059000000000006,2.6109169999999997,2.811117,3.0056599999999998,7.8623520000000005,12.358098,19.661528,22.735478999999994
28,2001,0.064267,0.16446000000000002,0.06961599999999998,2.5471359999999996,2.241859,2.624164,8.028853,12.281564999999999,20.165568,23.547077
29,2002,0.06300599999999999,0.171164,0.105335,2.5591670000000004,2.6890190000000005,2.705407,8.145428,12.160212000000001,19.382056000000002,22.732236999999994
30,2003,0.061948,0.17344400000000001,0.11327299999999998,2.346261,2.79254,2.8047759999999995,7.959622,11.959569,19.633301,22.093651
31,2004,0.062685,0.17814700000000003,0.141663,2.465849,2.688467,2.996018,8.222774,11.550143000000002,19.074255,22.8521
32,2005,0.06344599999999999,0.180701,0.178087,2.333841,2.7029409999999996,3.101186,8.160811,10.968955999999999,18.556015000000002,23.185189000000005
33,2006,0.068441,0.1812,0.26373599999999997,2.355836,2.8690339999999996,3.2115139999999998,8.214627,10.770802,19.021707000000003,23.789510999999997
34,2007,0.07565699999999999,0.185774,0.340503,2.4085900000000002,2.446388,3.4720779999999993,8.458591,10.748110000000002,19.786209999999997,23.492742999999997
35,2008,0.088768,0.192433,0.545547,2.4193580000000003,2.5111090000000003,3.8682509999999994,8.426492,10.613404000000003,20.702883999999997,23.851366
