unit,iccs,country	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993
NR,homicide,AL	: 	: 	: 	: 	139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,homicide,AT	83 	71 	56 	43 	46 	45 	60 	54 	59 	50 	65 	70 	82 	60 	77 	66 	99 	78 	88 	:
NR,homicide,BA	60 	49 	: 	67 	68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,homicide,BE	182 	206 	187 	189 	203 	211 	223 	221 	267 	229 	320 	282 	216 	: 	: 	: 	: 	: 	: 	:
NR,homicide,BG	141 	128 	147 	150 	172 	169 	183 	196 	240 	247 	255 	308 	332 	327 	381 	369 	404 	461 	: 	:
NR,homicide,CH	45 	46 	53 	51 	54 	51 	60 	75 	79 	73 	86 	86 	69 	89 	76 	87 	83 	82 	80 	:
NR,homicide,CY	19 	8 	7 	16 	9 	11 	12 	15 	15 	15 	3 	7 	8 	10 	7 	7 	10 	10 	8 	9
NR,homicide,CZ	95 	83 	103 	112 	114 	126 	130 	108 	134 	161 	147 	157 	179 	175 	183 	186 	181 	: 	207 	:
NR,homicide,DE	578 	662 	690 	706 	722 	757 	808 	869 	868 	859 	955 	925 	1015 	1020 	998 	1265 	1382 	1406 	1343 	1250
NR,homicide,DK	55 	62 	62 	79 	79 	76 	45 	70 	60 	82 	58 	62 	79 	68 	60 	123 	82 	70 	89 	78
NR,homicide,EE	73 	83 	70 	70 	84 	93 	91 	113 	91 	147 	142 	137 	143 	157 	196 	178 	214 	246 	302 	:
NR,homicide,EL	165 	184 	176 	144 	139 	128 	110 	132 	111 	116 	94 	132 	146 	155 	176 	203 	169 	151 	133 	150
NR,homicide,ES	364 	385 	401 	412 	414 	482 	476 	518 	520 	587 	564 	577 	553 	486 	522 	463 	397 	411 	429 	:
NR,homicide,FI	89 	116 	112 	116 	132 	128 	112 	113 	144 	103 	132 	156 	148 	143 	113 	139 	156 	146 	147 	130
NR,homicide,FR	430 	743 	675 	682 	839 	826 	879 	976 	990 	987 	1119 	1046 	1051 	953 	961 	963 	1171 	1336 	1406 	:
NR,homicide,FX	: 	: 	: 	699 	839 	826 	879 	976 	990 	987 	1119 	1046 	1051 	953 	961 	963 	1171 	1336 	1406 	:
NR,homicide,HR	55 	51 	73 	56 	74 	66 	75 	76 	89 	76 	88 	86 	111 	121 	131 	137 	133 	188 	161 	243
NR,homicide,HU	113 	142 	132 	139 	147 	137 	175 	164 	209 	228 	203 	254 	205 	253 	289 	289 	271 	296 	313 	298
NR,homicide,IE	60 	45 	58 	60 	55 	85 	70 	65 	45 	52 	59 	58 	56 	47 	51 	53 	46 	53 	32 	:
NR,homicide,IS	1 	3 	2 	1 	0 	2 	0 	3 	3 	0 	4 	1 	5 	2 	0 	2 	1 	0 	0 	:
NR,homicide,IT	563 	583 	567 	626 	654 	685 	663 	648 	767 	765 	691 	765 	818 	854 	918 	924 	1001 	1042 	1008 	1120
NR,homicide,LI	0 	3 	1 	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	:
NR,homicide,LT	197 	204 	217 	252 	304 	284 	302 	404 	356 	385 	316 	377 	408 	334 	343 	370 	389 	485 	560 	498
NR,homicide,LU	3 	4 	8 	5 	7 	7 	9 	4 	2 	3 	4 	6 	4 	6 	4 	4 	4 	2 	6 	:
NR,homicide,LV	114 	91 	82 	109 	119 	117 	148 	127 	199 	220 	207 	214 	219 	214 	238 	259 	256 	281 	: 	:
NR,homicide,ME	16 	21 	15 	24 	23 	10 	25 	22 	14 	20 	27 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,homicide,MK	27 	29 	40 	36 	36 	42 	45 	49 	49 	70 	60 	55 	51 	: 	: 	: 	: 	: 	: 	:
NR,homicide,MT	9 	3 	4 	4 	6 	4 	0 	4 	7 	0 	5 	5 	4 	10 	5 	: 	: 	: 	: 	:
NR,homicide,NL	145 	143 	144 	154 	150 	143 	128 	174 	191 	202 	195 	202 	180 	203 	176 	208 	211 	299 	276 	:
NR,homicide,NO	27 	111 	29 	29 	34 	30 	33 	33 	36 	51 	46 	37 	48 	33 	38 	38 	43 	42 	33 	38
NR,homicide,PL	377 	449 	436 	493 	460 	525 	490 	555 	633 	663 	716 	776 	855 	741 	759 	807 	873 	854 	915 	898
NR,homicide,PT	122 	114 	124 	130 	124 	185 	155 	135 	144 	149 	119 	105 	116 	109 	125 	114 	106 	109 	143 	:
NR,homicide,RO	378 	335 	404 	397 	470 	416 	438 	453 	516 	551 	563 	597 	581 	566 	559 	693 	722 	758 	749 	722
NR,homicide,RS	110 	124 	123 	161 	145 	182 	160 	157 	164 	176 	200 	243 	228 	: 	: 	: 	: 	: 	: 	:
